-0.7555750371	183.0119481417	182.2563731045	3.6602389628	0.1137857762	0.400
-0.6639456670	182.9203187353	182.2563730683	3.6584063747	0.1148086686	0.400
-0.4875142284	182.7438874351	182.2563732068	3.6548777487	0.1162962558	0.400
-0.6780103746	182.9343834441	182.2563730695	3.6586876689	0.1164608016	0.400
-0.8159757971	183.0723485084	182.2563727113	3.6614469702	0.1169672428	0.400
-0.0537961985	182.3101694514	182.2563732530	3.6462033890	0.1207070863	0.400
-0.2514025718	182.5077757621	182.2563731902	3.6501555152	0.1200024540	0.400
-1.3123076022	183.5686804064	182.2563728042	3.6713736081	0.1153178346	0.400
-1.5990748131	183.8554478155	182.2563730025	3.6771089563	0.1138067032	0.400
-1.3868853528	183.6432581633	182.2563728104	3.6728651633	0.1152005620	0.440
0.1834750739	182.0728938516	182.2563689256	3.6414578770	0.1230359893	0.440
6.2901785809	175.9661977751	182.2563763560	3.5193239555	0.1455915463	0.440
-0.8616100315	183.1179818378	182.2563718063	3.6623596368	0.1172969329	0.440
-1.2133811082	183.4697541566	182.2563730483	3.6693950831	0.1138518292	0.440
-1.1313652152	183.3877383387	182.2563731234	3.6677547668	0.1133062378	0.440
-0.9851703975	183.2415435110	182.2563731135	3.6648308702	0.1137400003	0.440
-0.8094031842	183.0657764003	182.2563732161	3.6613155280	0.1145771764	0.440
-0.8617457160	183.1181188850	182.2563731690	3.6623623777	0.1144470800	0.440
-1.0371638074	183.2935368989	182.2563730914	3.6658707380	0.1136428234	0.460
-1.1060800464	183.3624531395	182.2563730930	3.6672490628	0.1133279045	0.440
-0.7998907027	183.0562624781	182.2563717754	3.6611252496	0.1150884466	0.440
2.8616991826	179.3946775351	182.2563767177	3.5878935507	0.1289740077	0.440
-0.4330416855	182.6894127378	182.2563710523	3.6537882548	0.1162374292	0.440
-0.9715293208	183.2279024074	182.2563730866	3.6645580481	0.1131832034	0.440
-0.9749623901	183.2313355264	182.2563731363	3.6646267105	0.1132325507	0.440
-0.9136258990	183.1699988022	182.2563729031	3.6633999760	0.1144000021	0.440
-0.3099455344	182.5663184324	182.2563728980	3.6513263686	0.1183333703	0.440
1.7648911559	180.4914788381	182.2563699941	3.6098295768	0.1279540521	0.440
0.3258003837	181.9305668520	182.2563672357	3.6386113370	0.1231653564	0.440
1.8914261703	180.3649496887	182.2563758590	3.6072989938	0.1278795882	0.440
-0.0647636217	182.3211340852	182.2563704635	3.6464226817	0.1199915576	0.440
1.1381453825	181.1182286483	182.2563740308	3.6223645730	0.1231361524	0.440
-0.6335413273	182.8899137369	182.2563724097	3.6577982747	0.1151820826	0.440
-0.8030352223	183.0594083311	182.2563731087	3.6611881666	0.1134304605	0.420
-0.7502828370	183.0066560079	182.2563731709	3.6601331202	0.1132850442	0.420
-0.7594725012	183.0158455171	182.2563730159	3.6603169103	0.1135876090	0.420
-0.1610443238	182.4174163196	182.2563719958	3.6483483264	0.1168166098	0.420
1.3595167022	180.8968577903	182.2563744924	3.6179371558	0.1228831928	0.420
-0.5635872347	182.8199595620	182.2563723273	3.6563991912	0.1151440607	0.440
-0.8664116780	183.1227847745	182.2563730966	3.6624556955	0.1132643374	0.440
-0.8879246260	183.1442977773	182.2563731514	3.6628859555	0.1131423628	0.440
-0.9076760024	183.1640489824	182.2563729800	3.6632809796	0.1136747661	0.440
-0.3459325008	182.6023050102	182.2563725094	3.6520461002	0.1169720276	0.440
0.5155897352	181.7407837853	182.2563735205	3.6348156757	0.1213595957	0.440
0.2118950512	182.0444763298	182.2563713810	3.6408895266	0.1213056980	0.440
1.5572781082	180.6990926193	182.2563707275	3.6139818524	0.1269599251	0.440
1.7398198876	180.5165531815	182.2563730691	3.6103310636	0.1266844136	0.440
-1.0531991693	183.3095714813	182.2563723120	3.6661914296	0.1143931358	0.440
-0.9952817434	183.2516548773	182.2563731339	3.6650330975	0.1131037996	0.440
-0.7857887893	183.0421619541	182.2563731647	3.6608432391	0.1131842381	0.420
-0.6530049550	182.9093781107	182.2563731557	3.6581875622	0.1133819572	0.420
-0.5759151312	182.8322882806	182.2563731494	3.6566457656	0.1135685442	0.420
-0.5350163251	182.7913894718	182.2563731467	3.6558277894	0.1136817287	0.440
-0.5202925566	182.7766656990	182.2563731424	3.6555333140	0.1136807572	0.440
-0.5195087547	182.7758818928	182.2563731382	3.6555176379	0.1135961553	0.440
-0.5216299018	182.7780030401	182.2563731384	3.6555600608	0.1135035483	0.440
-0.5271519987	182.7835251392	182.2563731405	3.6556705028	0.1134595890	0.440
-0.5407405063	182.7971136420	182.2563731357	3.6559422728	0.1135129652	0.440
-0.5431316200	182.7995047260	182.2563731060	3.6559900945	0.1138042092	0.460
-0.4442275762	182.7006006345	182.2563730583	3.6540120127	0.1147117822	0.460
-0.2131623525	182.4695355966	182.2563732441	3.6493907119	0.1163057434	0.460
-0.4564845633	182.7128573421	182.2563727787	3.6542571468	0.1167501795	0.460
14.5593223970	167.6970231216	182.2563455186	3.3539404624	0.1723475804	0.460
0.8650792582	181.3912908789	182.2563701371	3.6278258176	0.1227949522	0.460
-0.7542693259	183.0106420364	182.2563727105	3.6602128407	0.1141331702	0.460
-0.6525041678	182.9088773338	182.2563731660	3.6581775467	0.1133324422	0.460
-0.5557836981	182.8121568713	182.2563731732	3.6562431374	0.1133401957	0.460
-0.5664160552	182.8227892189	182.2563731637	3.6564557844	0.1133788560	0.460
-0.6558844084	182.9122575534	182.2563731450	3.6582451511	0.1135036435	0.460
-0.7496401464	183.0060131811	182.2563730347	3.6601202636	0.1141667866	0.460
