# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
98 9.75 1.06523 131.124 0.990337 262.009 1.00054 262.116
99 9.85 1.04582 135.373 0.999783 270.167 1.01168 270.354
100 9.95 1.01455 139.579 1.07462 279.116 0.96924 278.408
11100 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0.127391 0.0257511 0 0
17 1.65 0 0 0.936848 0.240343 0.0187772 0.00429185
18 1.75 0 0 1.53247 0.635193 0.0834658 0.0257511
19 1.85 0 0 1.3266 1.01717 0.253941 0.0987124
20 1.95 0 0 1.00623 1.33906 0.430248 0.236052
21 2.05 0 0 0.497725 1.51502 0.583956 0.44206
22 2.15 0 0 0.353179 1.65236 1.27197 0.935622
23 2.25 0 0 0.22171 1.74678 1.12104 1.41202
24 2.35 0 0 0.212484 1.84549 1.35171 2.03863
25 2.45 0 0 0.254993 1.97425 1.40548 2.74678
26 2.55 0.441286 0.120172 0.243235 2.1073 1.14802 3.37339
27 2.65 1.98469 0.703863 0.290614 2.27897 0.786345 3.83691
28 2.75 2.9 1.62232 0.384558 2.52361 0.973603 4.45494
29 2.85 2.62438 2.51502 0.684687 2.99142 0.780585 4.98712
30 2.95 1.53093 3.07296 0.838398 3.60515 0.693313 5.49356
31 3.05 1.16779 3.5279 1.25602 4.58798 0.780517 6.103
32 3.15 0.970886 3.93133 1.57863 5.90558 0.809049 6.77682
33 3.25 0.853846 4.30901 1.68104 7.39914 0.818123 7.50215
34 3.35 0.858428 4.71245 1.45034 8.76824 0.92037 8.3691
35 3.45 0.809388 5.11588 1.38463 10.1545 0.936528 9.30472
36 3.55 0.878286 5.5794 1.29558 11.5279 0.933201 10.2918
37 3.65 0.984679 6.12876 1.12599 12.7897 1.0171 11.4292
38 3.75 0.874562 6.64378 1.19011 14.1974 1.20721 12.8541
39 3.85 0.871209 7.18455 1.0327 15.485 1.20051 14.3476
40 3.95 1.09041 7.897 0.912403 16.6824 1.20932 15.9313
41 4.05 0.937253 8.54077 0.942563 17.9828 1.18152 17.5579
42 4.15 1.05926 9.30472 0.995456 19.4249 1.10745 19.1588
43 4.25 1.12348 10.1545 1.09323 21.0858 0.985177 20.6524
44 4.35 1.18075 11.0901 0.91951 22.5494 1.0566 22.3305
45 4.45 1.09722 12 0.912147 24.0687 1.07679 24.1202
46 4.55 1.13864 12.9871 0.934112 25.6953 1.08432 26.0043
47 4.65 1.09019 13.9742 0.948644 27.4206 1.024 27.8627
48 4.75 1.24464 15.1502 0.961137 29.2446 0.958672 29.6781
49 4.85 0.90628 16.0429 1.03688 31.2961 0.95433 31.5622
50 4.95 1.00388 17.073 0.891289 33.133 0.90364 33.4206
51 5.05 0.972559 18.1116 0.926369 35.1202 0.956432 35.4678
52 5.15 0.950615 19.1674 1.0408 37.4421 1.03147 37.7639
53 5.25 0.944495 20.2575 1.03671 39.8455 0.959161 39.9828
54 5.35 0.988295 21.4421 0.989402 42.2275 0.973664 42.3219
55 5.45 0.800535 22.4378 0.99981 44.7253 0.955478 44.7039
56 5.55 0.918352 23.6223 1.03202 47.3991 0.95954 47.1845
57 5.65 0.918239 24.8498 1.02619 50.1545 1.03961 49.97
58 5.75 0.82458 25.9914 0.939876 52.7682 0.957363 52.6266
59 5.85 0.946373 27.3476 1.05414 55.8026 0.935373 55.3133
60 5.95 1.00168 28.8326 0.990176 58.7511 0.948973 58.133
61 6.05 0.963242 30.309 0.95632 61.6953 1.0883 61.4764
62 6.15 0.953851 31.8197 0.968645 64.7768 1.03698 64.7682
63 6.25 1.09674 33.6137 0.961409 67.9356 0.977877 67.9742
64 6.35 1.04214 35.3734 0.951615 71.1631 1.00692 71.382
65 6.45 1.05442 37.2103 1.03395 74.7811 1.06076 75.0858
66 6.55 1.05114 39.0987 1.00857 78.4206 0.969019 78.5751
67 6.65 1.05684 41.0558 0.998078 82.133 1.00369 82.3004
68 6.75 1.11124 43.176 0.981044 85.8927 1.0258 86.2232
69 6.85 1.11398 45.3648 1.03634 89.9828 1.13556 90.6953
70 6.95 1.02275 47.4335 0.972932 93.9356 0.943264 94.5193
71 7.05 1.01868 49.5536 1.03382 98.2575 0.953733 98.4979
72 7.15 1.0385 51.7768 1.03904 102.725 0.99326 102.76
73 7.25 0.959356 53.8884 1.05037 107.369 0.957293 106.983
74 7.35 0.937224 56.0086 1.01821 111.996 1.0204 111.609
75 7.45 1.08212 58.5236 0.972672 116.536 1.00977 116.313
76 7.55 0.988918 60.8841 1.02317 121.442 1.0155 121.172
77 7.65 1.00877 63.3562 0.978281 126.258 0.99786 126.073
78 7.75 1.02044 65.9227 1.00757 131.348 1.01655 131.197
79 7.85 0.874859 68.1803 1.03506 136.712 0.963429 136.18
80 7.95 0.989208 70.7983 0.968815 141.863 0.995981 141.464
81 8.05 1.08499 73.7425 0.962218 147.107 1.00374 146.923
82 8.15 0.941254 76.3605 1.01634 152.785 1.05779 152.82
83 8.25 0.936645 79.03 1.00385 158.532 1.02178 158.657
84 8.35 0.873185 81.5794 1.01142 164.464 1.00406 164.532
85 8.45 1.05073 84.721 0.97547 170.322 0.996188 170.502
86 8.55 1.03751 87.897 0.966048 176.262 0.998904 176.631
87 8.65 0.989004 90.9957 0.96089 182.309 0.992344 182.863
88 8.75 0.979914 94.1373 1.01436 188.841 0.971128 189.103
89 8.85 0.989301 97.382 0.998736 195.421 1.00219 195.691
90 8.95 1.1311 101.176 1.00712 202.206 0.995879 202.386
91 9.05 0.968584 104.498 1.0367 209.348 0.977739 209.107
92 9.15 1.14585 108.515 0.987344 216.3 0.994353 216.094
93 9.25 0.977463 112.017 0.998315 223.485 0.990302 223.206
94 9.35 1.03873 115.82 0.994585 230.798 1.03942 230.833
95 9.45 1.0008 119.562 1.03593 238.579 1.0267 238.528
96 9.55 0.995682 123.365 1.01323 246.352 0.99242 246.124
97 9.65 0.953141 127.082 0.998366 254.172 1.03676 254.227
98 9.75 0.976816 130.97 0.958668 261.837 0.985474 262.09
99 9.85 1.03948 135.193 1.02976 270.24 0.990338 270.155
100 9.95 1.01248 139.391 0.980819 278.408 1.01702 278.605
11200 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
