# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
98 9.75 0.960085 132.678 0.968654 265.635 1.01525 265.652
99 9.85 1.01561 136.867 1.00866 273.991 0.995776 273.884
100 9.95 1.06057 141.33 0.987982 282.343 1.01199 282.421
11100 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0.188228 0.0386266 0 0
17 1.65 0 0 0.830554 0.23176 0 0
18 1.75 0 0 1.72286 0.682403 0.115105 0.0300429
19 1.85 0 0 1.21867 1.03863 0.206 0.0901288
20 1.95 0 0 0.832592 1.30901 0.622476 0.291845
21 2.05 0 0 0.50224 1.48927 0.647126 0.523605
22 2.15 0 0 0.369641 1.63519 1.14399 0.974249
23 2.25 0 0 0.218395 1.72961 1.20375 1.49356
24 2.35 0 0 0.245708 1.84549 1.22206 2.06867
25 2.45 0 0 0.276298 1.98712 1.25021 2.70815
26 2.55 0.558883 0.154506 0.231868 2.11588 1.06889 3.30043
27 2.65 1.92626 0.729614 0.264798 2.27468 1.1045 3.96137
28 2.75 3.04352 1.70815 0.49843 2.59657 0.819183 4.48927
29 2.85 2.31171 2.50644 0.705386 3.08584 0.812318 5.0515
30 2.95 1.67044 3.12446 1.02799 3.84979 0.688732 5.56223
31 3.05 1.06351 3.54506 1.27506 4.86266 0.882548 6.2618
32 3.15 1.07846 4 1.42333 6.06867 0.77157 6.91416
33 3.25 0.630808 4.28326 1.61308 7.52361 0.815425 7.64807
34 3.35 0.827599 4.67811 1.46448 8.92704 0.902118 8.51073
35 3.45 1.03477 5.20172 1.41037 10.3605 0.914059 9.43777
36 3.55 0.881173 5.67382 1.39186 11.8584 1.07112 10.588
37 3.65 1.364 6.44635 1.0752 13.0815 1.12288 11.8627
38 3.75 0.8902 6.97854 1.01862 14.3047 1.11394 13.1974
39 3.85 0.776449 7.46781 1.05795 15.6438 1.23013 14.7511
40 3.95 1.0094 8.13734 0.905201 16.8498 1.16218 16.2961
41 4.05 0.960167 8.80687 1.08168 18.3648 1.11471 17.8541
42 4.15 1.05514 9.5794 0.954304 19.7682 1.06749 19.4206
43 4.25 1.11786 10.4378 0.971144 21.2661 1.06526 21.0601
44 4.35 1.04571 11.279 0.961539 22.8197 1.01951 22.7039
45 4.45 1.15219 12.2489 0.984804 24.485 1.0556 24.485
46 4.55 1.20939 13.3133 0.966271 26.1931 0.956184 26.1717
47 4.65 0.952493 14.1888 0.953054 27.9528 1.01101 28.0343
48 4.75 1.12759 15.2704 0.946764 29.7768 1.02247 30
49 4.85 0.849807 16.1202 0.99146 31.7682 0.946482 31.897
50 4.95 1.00535 17.1674 0.992833 33.8455 0.994969 33.9742
51 5.05 0.910511 18.1545 0.843535 35.6824 1.03891 36.2318
52 5.15 1.13434 19.4335 1.05177 38.0644 1.02365 38.5451
53 5.25 0.988977 20.5923 1.03944 40.5107 0.968575 40.8197
54 5.35 0.881808 21.6652 1.06416 43.1116 0.943265 43.1202
55 5.45 1.0061 22.9356 0.99332 45.6309 0.968323 45.5708
56 5.55 0.930839 24.1545 0.957848 48.1502 1.00733 48.2146
57 5.65 0.822279 25.2704 1.02029 50.9313 0.992502 50.9142
58 5.75 0.934392 26.5837 0.994231 53.7382 0.993322 53.7124
59 5.85 0.955822 27.9742 0.957594 56.5365 0.950822 56.485
60 5.95 1.04944 29.5536 0.999504 59.5579 0.930514 59.2918
61 6.05 0.915739 30.9785 0.955751 62.5451 1.02661 62.4936
62 6.15 0.960941 32.5236 1.03921 65.9013 0.981515 65.6567
63 6.25 1.0545 34.2747 1.00107 69.2403 1.05223 69.1588
64 6.35 1.01654 36.0172 0.967301 72.5708 1.02559 72.6824
65 6.45 1.03865 37.8541 0.96412 75.9957 0.956507 76.073
66 6.55 0.974234 39.6309 0.975911 79.5708 1.01206 79.7725
67 6.65 1.00451 41.5193 0.972923 83.2446 0.996657 83.5279
68 6.75 1.05474 43.5622 1.0447 87.309 1.01709 87.4764
69 6.85 1.08011 45.7167 1.01977 91.3948 1.0531 91.6867
70 6.95 1.09106 47.9571 0.988559 95.4721 0.907259 95.4206
71 7.05 0.979074 50.0258 0.971838 99.5966 1.02561 99.7639
72 7.15 0.95188 52.0944 1.00089 103.966 0.97545 104.013
73 7.25 1.04105 54.4206 1.02893 108.584 1.05989 108.76
74 7.35 1.0615 56.8584 1.0067 113.227 1.02006 113.455
75 7.45 0.982265 59.176 1.01337 118.03 1.01736 118.266
76 7.55 1.07686 61.7854 1.05195 123.15 0.962314 122.94
77 7.65 1.00058 64.2747 1.0212 128.253 1.0079 127.966
78 7.75 1.07578 67.0215 0.989155 133.326 1.02483 133.21
79 7.85 0.89782 69.3734 0.971455 138.438 1.03403 138.639
80 7.95 1.02553 72.1288 1.03147 144.004 0.99065 143.974
81 8.05 0.975284 74.8155 1.01531 149.622 1.00739 149.536
82 8.15 0.997097 77.6309 1.03065 155.468 0.990402 155.142
83 8.25 0.931538 80.3262 1.0036 161.3 0.990221 160.884
84 8.35 1.0281 83.3734 0.997012 167.236 1.00349 166.845
85 8.45 1.04067 86.5322 0.962291 173.103 0.992578 172.884
86 8.55 0.955703 89.5021 1.0293 179.528 1.01291 179.193
87 8.65 0.98231 92.6266 0.975407 185.76 0.978851 185.433
88 8.75 1.0602 96.0773 0.976873 192.146 0.977 191.807
89 8.85 0.959038 99.2704 0.951072 198.506 1.01357 198.571
90 8.95 0.975539 102.592 1.00775 205.399 1.02501 205.567
91 9.05 1.08723 106.378 0.971484 212.193 1.00248 212.562
92 9.15 0.902006 109.588 0.979182 219.193 0.979483 219.549
93 9.25 1.01948 113.296 1.0157 226.614 1.00022 226.841
94 9.35 0.997793 117.004 0.990061 234.004 0.989885 234.215
95 9.45 1.07401 121.082 1.01481 241.742 1.03278 242.073
96 9.55 1.00736 124.987 0.989259 249.446 1.02232 250.017
97 9.65 1.01912 129.021 1.00341 257.425 1.00016 257.953
98 9.75 0.966457 132.927 1.01836 265.691 1.00359 266.082
99 9.85 0.973988 136.944 0.990013 273.893 0.993699 274.296
100 9.95 1.00142 141.159 1.02961 282.597 0.953983 282.343
11200 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0.125485 0.0257511 0 0
17 1.65 0 0 1.10741 0.283262 0 0
18 1.75 0 0 1.72286 0.733906 0.0986611 0.0257511
19 1.85 0 0 1.26272 1.103 0.250143 0.0987124
20 1.95 0 0 0.779729 1.35622 0.503278 0.261803
21 2.05 0 0 0.550073 1.55365 0.742997 0.527897
22 2.15 0 0 0.347897 1.69099 1.01325 0.927039
23 2.25 0 0 0.248176 1.79828 1.2137 1.45064
24 2.35 0 0 0.200206 1.8927 1.45918 2.13734
25 2.45 0.033635 0.00858369 0.175826 1.98283 1.32573 2.81545
26 2.55 0.403637 0.120172 0.193224 2.09013 1.21605 3.48927
27 2.65 2.58752 0.892704 0.307738 2.27468 1.03995 4.11159
28 2.75 3.04352 1.87124 0.518367 2.60944 0.839163 4.65236
29 2.85 2.23714 2.64378 0.662073 3.06867 0.675898 5.12017
30 2.95 1.67044 3.2618 1.02222 3.82833 0.636643 5.59227
31 3.05 1.0201 3.66524 1.19942 4.78112 0.736359 6.17597
32 3.15 0.936018 4.06009 1.54489 6.09013 0.776646 6.83262
33 3.25 0.707269 4.37768 1.62259 7.55365 0.863111 7.60944
34 3.35 0.737643 4.72961 1.6257 9.11159 0.906606 8.47639
35 3.45 0.814248 5.14163 1.35548 10.4893 1.03255 9.52361
36 3.55 0.913216 5.6309 1.25228 11.8369 0.991187 10.588
37 3.65 1.15182 6.28326 1.22233 13.2275 1.10397 11.8412
38 3.75 0.904558 6.82403 1.04364 14.4807 1.1211 13.1845
39 3.85 0.899047 7.39056 0.993523 15.7382 1.18935 14.6867
40 3.95 1.11292 8.12876 1.01151 17.0858 1.08148 16.1245
41 4.05 1.20636 8.96996 0.882504 18.3219 1.18841 17.7854
42 4.15 0.961348 9.67382 0.933875 19.6953 1.0441 19.3176
43 4.25 1.01725 10.4549 0.982275 21.2103 1.02901 20.9013
44 4.35 0.917667 11.1931 1.01466 22.8498 1.12598 22.7167
45 4.45 1.17258 12.1803 0.928964 24.4206 1.07595 24.5322
46 4.55 1.04358 13.0987 0.995405 26.1803 1.01458 26.3219
47 4.65 1.01786 14.0343 0.957703 27.9485 1.03431 28.2275
48 4.75 1.06495 15.0558 0.993546 29.8627 0.977822 30.1073
49 4.85 1.05582 16.1116 0.942315 31.7554 1.01286 32.1373
50 4.95 1.096 17.2532 0.869755 33.5751 1.04019 34.309
51 5.05 0.942181 18.2747 0.981496 35.7124 0.991507 36.4635
52 5.15 0.944012 19.3391 0.941856 37.8455 0.943881 38.5966
53 5.25 0.937697 20.4378 0.981085 40.1545 0.9503 40.8283
54 5.35 1.09344 21.7682 1.10631 42.8584 0.934466 43.1073
55 5.45 0.876937 22.8755 1.07793 45.5923 0.893706 45.3691
56 5.55 0.94395 24.1116 0.975797 48.1588 0.984437 47.9528
57 5.65 0.891857 25.3219 0.977776 50.824 0.984613 50.6309
58 5.75 0.928284 26.6266 1.02616 53.721 0.965899 53.3519
59 5.85 0.86732 27.8884 1.02369 56.7124 0.94935 56.1202
60 5.95 0.90115 29.2446 0.948393 59.5794 0.976043 59.0644
61 6.05 0.998486 30.7983 0.96811 62.6052 1.06239 62.3777
62 6.15 0.987634 32.3863 1.02858 65.927 1.02946 65.6953
63 6.25 1.08034 34.1803 0.961186 69.133 1.00839 69.0515
64 6.35 1.04158 35.9657 1.0047 72.5923 1.00811 72.515
65 6.45 1.11631 37.9399 0.974993 76.0558 0.96135 75.9227
66 6.55 1.04954 39.8541 0.902102 79.3605 0.960398 79.4335
67 6.65 1.00451 41.7425 0.989972 83.0987 1.03538 83.3348
68 6.75 0.930653 43.5451 0.992849 86.9614 1.01267 87.2661
69 6.85 1.09302 45.7253 1.02299 91.0601 0.96722 91.133
70 6.95 1.00745 47.794 1.04475 95.3691 1.0251 95.3519
71 7.05 1.04408 50 0.993075 99.5837 1.02663 99.6996
72 7.15 1.07827 52.3433 0.969424 103.815 0.977421 103.957
73 7.25 1.03336 54.6524 1.02415 108.412 1.09056 108.841
74 7.35 0.956847 56.8498 1.02996 113.163 1.00794 113.481
75 7.45 0.873125 58.9099 1.02514 118.021 0.998304 118.202
76 7.55 1.02726 61.3991 1.02815 123.026 1.03566 123.232
77 7.65 0.96953 63.8112 1.00144 128.03 0.962281 128.03
78 7.75 1.07914 66.5665 0.994176 133.129 1.0156 133.227
79 7.85 1.06493 69.3562 0.975533 138.262 0.989893 138.425
80 7.95 1.05429 72.1888 1.06726 144.021 1.02651 143.953
81 8.05 1.03449 75.0386 1.0347 149.747 0.948313 149.189
82 8.15 0.896779 77.5708 0.98525 155.335 0.975235 154.708
83 8.25 0.967138 80.3691 1.0228 161.279 1.05461 160.824
84 8.35 1.05995 83.5107 1.04027 167.472 1.00494 166.794
85 8.45 1.00108 86.5494 1.02283 173.708 1.03491 173.09
86 8.55 0.983325 89.6052 0.957102 179.682 1.02531 179.476
87 8.65 1.02279 92.8584 0.952567 185.768 1.00847 185.906
88 8.75 1.03383 96.2232 0.987377 192.223 0.985553 192.335
89 8.85 0.984819 99.5021 1.0037 198.936 1.00264 199.026
90 8.95 0.967976 102.798 0.983902 205.665 1.03066 206.06
91 9.05 1.04532 106.438 0.978848 212.511 0.985873 212.94
92 9.15 0.964712 109.871 0.983985 219.545 0.976475 219.906
93 9.25 0.998244 113.502 1.00865 226.914 1.01965 227.339
94 9.35 0.94005 116.996 0.944065 233.961 0.980667 234.644
95 9.45 0.974527 120.695 0.983852 241.464 0.927306 241.7
96 9.55 0.99629 124.558 1.01571 249.373 0.95162 249.094
97 9.65 1.082 128.841 0.980737 257.172 0.982305 256.888
98 9.75 0.998318 132.876 1.01201 265.386 1.03538 265.275
99 9.85 0.990638 136.961 0.994157 273.622 1.05392 273.987
100 9.95 0.991221 141.133 0.987475 281.97 0.971282 282.18
11300 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
