# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
25000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 27.0253 2 0 0
11 1.05 0 0 0 2 0 0
12 1.15 0 0 0 2 0 0
13 1.25 0 0 0 2 0 0
14 1.35 0 0 0 2 0 0
15 1.45 0 0 0 2 0 0
16 1.55 0 0 0.196183 2.03863 5.08988 1
17 1.65 0 0 0.65405 2.18455 0.0192781 1.00429
18 1.75 0 0 1.50495 2.56223 0.0514153 1.01717
19 1.85 0 0 1.20896 2.90129 0.0153362 1.02146
20 1.95 0 0 0.867778 3.17167 0.234666 1.09442
21 2.05 0 0 0.585783 3.37339 0.46214 1.25322
22 2.15 0 0 0.521237 3.57082 0.999293 1.6309
23 2.25 0 0 0.206931 3.65665 1.50348 2.25322
24 2.35 0 0 0.313001 3.79828 1.40678 2.88841
25 2.45 0.0701129 0.0171674 0.209436 3.90129 1.28555 3.51931
26 2.55 1.10028 0.309013 0.201389 4.00858 1.10599 4.1073
27 2.65 2.42718 1.00429 0.290907 4.17597 1.07643 4.72532
28 2.75 3.11649 1.96567 0.602613 4.54936 0.83992 5.24464
29 2.85 1.91716 2.60086 0.741645 5.04292 0.775555 5.75966
30 2.95 1.62013 3.17597 1.2159 5.90987 0.856581 6.3691
31 3.05 1.04059 3.57082 1.40778 6.98283 0.716689 6.91416
32 3.15 0.763494 3.87983 1.39901 8.12017 0.90999 7.65236
33 3.25 0.637543 4.15451 1.47791 9.39914 0.834976 8.37339
34 3.35 0.637555 4.44635 1.391 10.6781 1.00573 9.29614
35 3.45 0.742577 4.80687 1.20151 11.8498 1.07177 10.3391
36 3.55 0.818222 5.22747 1.23869 13.1288 1.04557 11.4163
37 3.65 0.979353 5.75966 1.01054 14.2318 1.04818 12.5579
38 3.75 0.823067 6.23176 1.05422 15.4464 1.18341 13.9185
39 3.85 1.09321 6.8927 1.11326 16.7983 1.03774 15.176
40 3.95 1.05205 7.56223 0.983746 18.0558 1.03633 16.4979
41 4.05 1.01357 8.24034 0.910218 19.279 1.0466 17.9013
42 4.15 1.18526 9.07296 1.0798 20.8026 1.06688 19.4034
43 4.25 1.11849 9.897 0.954181 22.2146 1.05215 20.9571
44 4.35 1.22336 10.8412 1.04647 23.8369 1.04317 22.5708
45 4.45 1.15837 11.7768 1.05023 25.5408 1.05249 24.2747
46 4.55 1.09785 12.7039 0.994454 27.2275 1.09549 26.1288
47 4.65 1.129 13.6996 0.954566 28.9185 1.04888 27.9828
48 4.75 1.0913 14.7039 0.898546 30.5794 1.10058 30.0129
49 4.85 1.13623 15.794 1.01332 32.5322 1.05344 32.0386
50 4.95 1.09937 16.8927 1.007 34.5536 0.968454 33.9785
51 5.05 0.94899 17.8798 0.955187 36.5494 0.932539 35.9227
52 5.15 0.880756 18.8326 1.07449 38.8841 1.00554 38.103
53 5.25 0.832253 19.7682 0.954123 41.0386 0.986651 40.3262
54 5.35 1.02936 20.97 0.979188 43.3348 0.885916 42.3991
55 5.45 0.949424 22.1202 0.957695 45.6652 1.01101 44.8541
56 5.55 0.867694 23.2103 1.04935 48.3133 0.894802 47.1073
57 5.65 0.797696 24.2489 0.982995 50.8841 0.991687 49.6953
58 5.75 0.884767 25.4421 0.98396 53.5494 0.924149 52.1931
59 5.85 0.922422 26.7296 0.982755 56.3047 0.989471 54.9614
60 5.95 0.802509 27.8884 0.930763 59.0043 0.97577 57.7854
61 6.05 1.02343 29.4163 0.987554 61.9657 0.988244 60.7425
62 6.15 0.901396 30.8069 1.00695 65.0858 1.01467 63.8798
63 6.25 1.19065 32.7039 0.886471 67.9227 0.985145 67.0258
64 6.35 0.762003 33.9571 0.939322 71.0258 1.05201 70.4936
65 6.45 1.12807 35.8712 1.03005 74.5365 0.995668 73.8798
66 6.55 1.1037 37.8026 0.963426 77.9227 1.00221 77.3948
67 6.65 1.13262 39.8455 1.0247 81.6352 0.982979 80.9485
68 6.75 1.03465 41.7682 0.956622 85.206 1.00247 84.6824
69 6.85 1.0226 43.7253 0.983603 88.9871 1.0025 88.5279
70 6.95 1.16766 46.0258 1.04444 93.1202 1.00321 92.4893
71 7.05 0.99928 48.0515 1.04875 97.3906 0.978117 96.4635
72 7.15 1.01269 50.1631 1.10979 102.039 1.03105 100.773
73 7.25 1.09705 52.515 1.00564 106.369 1.06173 105.335
74 7.35 1.08299 54.9013 1.06767 111.094 1.00875 109.79
75 7.45 0.932774 57.0129 0.999561 115.639 0.954416 114.12
76 7.55 1.04483 59.4421 1.0284 120.442 1.02785 118.91
77 7.65 0.870256 61.5193 1.0008 125.24 0.961682 123.511
78 7.75 0.977587 63.9142 0.98473 130.086 1.04366 128.635
79 7.85 0.990406 66.4034 0.95045 134.884 1.01043 133.725
80 7.95 0.995616 68.97 1.01455 140.137 1.0267 139.03
81 8.05 0.974281 71.5451 0.991119 145.399 1.01593 144.412
82 8.15 0.998046 74.2489 1.00007 150.841 1.00696 149.88
83 8.25 1.04202 77.1416 0.960581 156.197 1.01818 155.545
84 8.35 1.05344 80.1373 0.990307 161.854 1.00976 161.3
85 8.45 1.01981 83.1073 1.04698 167.979 0.964675 166.931
86 8.55 1.01337 86.1288 1.01045 174.03 0.964505 172.695
87 8.65 0.936629 88.9871 0.97812 180.026 1.0139 178.897
88 8.75 0.997806 92.103 0.968207 186.099 0.977146 185.013
89 8.85 0.964637 95.1845 0.948457 192.185 1.00077 191.421
90 8.95 1.03253 98.5579 0.979048 198.609 1.01261 198.052
91 9.05 0.966155 101.785 0.97608 205.159 0.98523 204.648
92 9.15 0.980344 105.133 1.0481 212.348 1.0284 211.687
93 9.25 0.944505 108.429 1.02372 219.524 0.993401 218.635
94 9.35 1.00626 112.017 1.00134 226.695 0.977671 225.622
95 9.45 1.02042 115.734 0.966181 233.764 0.994126 232.88
96 9.55 0.969168 119.339 0.99258 241.18 0.995866 240.305
97 9.65 1.0215 123.219 1.03794 249.099 1.01311 248.017
98 9.75 0.994017 127.073 0.969361 256.648 0.971445 255.567
99 9.85 1.04986 131.227 1.00485 264.635 1.02 263.657
100 9.95 0.977842 135.176 1.00698 272.803 1.01127 271.841
25100 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 27.0253 2 0 0
11 1.05 0 0 0 2 0 0
12 1.15 0 0 0 2 0 0
13 1.25 0 0 0 2 0 0
14 1.35 0 0 0 2 0 0
15 1.45 0 0 0 2 0 0
16 1.55 0 0 0.10899 2.02146 5.08988 1
17 1.65 0 0 0.82718 2.20601 0.0192781 1.00429
