# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
98 9.75 1.00225 134.893 0.979682 269.734 0.998004 269.408
99 9.85 0.967624 138.936 0.995689 278.09 1.02704 278.009
100 9.95 1.03484 143.348 1.01336 286.768 1.0281 286.794
11100 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0.0206452 0.00429185 0 0
17 1.65 0 0 0.29151 0.0729614 0.0365171 0.00858369
18 1.75 0 0 0.809859 0.287554 0.0649281 0.0257511
19 1.85 0 0 1.31894 0.678112 0.1162 0.0600858
20 1.95 0 0 1.21326 1.07725 0.431436 0.201717
21 2.05 0 0 0.755475 1.35193 0.674292 0.446352
22 2.15 0 0 0.504402 1.55365 0.967953 0.832618
23 2.25 0 0 0.440971 1.74678 0.962402 1.25322
24 2.35 0 0 0.25153 1.86695 1.15233 1.80258
25 2.45 0 0 0.314069 2.03004 1.09332 2.3691
26 2.55 0.214548 0.0600858 0.274663 2.18455 1.36098 3.13305
27 2.65 1.39064 0.480687 0.558107 2.52361 1.13985 3.82403
28 2.75 2.5827 1.32189 0.531381 2.87124 1.07162 4.52361
29 2.85 2.94448 2.35193 0.891769 3.49785 0.973262 5.20601
30 2.95 2.24441 3.19313 1.11739 4.33906 0.862697 5.85408
31 3.05 1.37121 3.74249 1.37599 5.44635 0.88723 6.56652
32 3.15 1.22528 4.26609 1.35502 6.60944 0.7867 7.24034
33 3.25 1.03782 4.7382 1.56415 8.03863 0.927325 8.08584
34 3.35 0.887994 5.16738 1.32185 9.32189 0.934819 8.99142
35 3.45 1.13868 5.75107 1.27969 10.6395 1.15294 10.176
36 3.55 1.02799 6.30901 1.27947 12.0343 1.10469 11.3777
37 3.65 0.912596 6.83262 1.17309 13.3863 1.08604 12.6266
38 3.75 0.892923 7.37339 1.05844 14.6738 0.958182 13.7897
39 3.85 0.968163 7.99142 1.09455 16.0773 1.10361 15.2017
40 3.95 0.868667 8.57511 0.960336 17.3734 1.13767 16.7339
41 4.05 0.862756 9.18455 0.834855 18.5579 1.00337 18.1545
42 4.15 1.01842 9.93991 0.950672 19.9742 1.01334 19.6609
43 4.25 0.838644 10.5923 1.04655 21.6094 1.02678 21.2618
44 4.35 1.02173 11.4249 0.996368 23.2403 1.04318 22.9657
