# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
1 0.05125 0 0 0 0 0 0
2 0.15375 0 0 0 0 0 0
3 0.25625 0 0 0 0 0 0
4 0.35875 0 0 0 0 0 0
5 0.46125 0 0 0 0 0 0
6 0.56375 0 0 0 0 0 0
7 0.66625 0 0 0 0 0 0
8 0.76875 0 0 0 0 0 0
9 0.87125 0 0 0 0 0 0
10 0.97375 0 0 0 0 0 0
11 1.07625 0 0 0 0 0 0
12 1.17875 0 0 0 0 0 0
13 1.28125 0 0 0 0 0 0
14 1.38375 0 0 0 0 0 0
15 1.48625 0 0 0.0231957 0.00429185 0 0
16 1.58875 0 0 0.101501 0.0257511 0 0
17 1.69125 0 0 0.752427 0.206009 0 0
18 1.79375 0 0 1.75192 0.678112 0.20749 0.055794
19 1.89625 0 0 1.36816 1.09013 0.257082 0.133047
20 1.99875 0 0 0.962084 1.41202 0.578492 0.32618
21 2.10125 0 0 0.626781 1.64378 0.814242 0.626609
22 2.20375 0 0 0.295474 1.76395 1.29019 1.15021
23 2.30625 0 0 0.173441 1.8412 1.11048 1.64378
24 2.40875 0.0354848 0.00858369 0.132497 1.90558 1.26585 2.25751
25 2.51125 0.0979429 0.0343348 0.170664 1.99571 1.35196 2.96996
26 2.61375 1.17536 0.369099 0.195053 2.1073 1.22546 3.66953
27 2.71625 3.1534 1.33906 0.444583 2.38197 0.751847 4.13305
28 2.81875 3.10965 2.3691 0.632163 2.80258 0.698167 4.59657
29 2.92125 2.00257 3.08155 0.852845 3.41202 0.607906 5.03004
30 3.02375 1.14849 3.51931 1.1772 4.3133 0.696603 5.56223
31 3.12625 0.779484 3.83691 1.46837 5.51502 0.683209 6.12017
32 3.22875 0.750533 4.16309 1.50446 6.82833 0.79819 6.81545
33 3.33125 0.667952 4.4721 1.48259 8.20601 0.995145 7.7382
34 3.43375 0.681062 4.80687 1.34758 9.53648 0.975832 8.69957
35 3.53625 0.675086 5.1588 1.32798 10.927 1.12136 9.87124
36 3.63875 0.715346 5.55365 1.06454 12.1073 1.19097 11.1888
37 3.74125 0.794374 6.01717 0.959411 13.2318 1.17799 12.5665
38 3.84375 0.93375 6.59227 0.912396 14.3605 1.18901 14.0343
39 3.94625 0.899098 7.17597 1.05651 15.7382 1.12146 15.4936
40 4.04875 1.29379 8.06009 1.00057 17.1116 1.14687 17.0644
41 4.15125 1.1829 8.90987 1.01423 18.5751 0.998532 18.5021
