# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
98 9.75 0.991393 128.017 1.0377 255.991 1.00523 255.824
99 9.85 0.997327 131.974 1.01782 264.103 1.02756 263.996
100 9.95 0.981621 135.948 0.979519 272.069 1.00384 272.142
11100 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0.0496829 0.00858369 0 0
16 1.55 0 0 0.260887 0.0600858 0 0
17 1.65 0 0 0.882555 0.257511 0 0
18 1.75 0 0 1.55214 0.648069 0.085466 0.0214592
19 1.85 0 0 1.44997 1.05579 0.214139 0.0815451
20 1.95 0 0 0.824274 1.3133 0.633302 0.27897
21 2.05 0 0 0.546945 1.50215 0.747438 0.536481
22 2.15 0 0 0.395547 1.65236 1.06461 0.939914
23 2.25 0 0 0.288939 1.77253 1.30302 1.48069
24 2.35 0 0 0.198657 1.86266 1.34619 2.09013
25 2.45 0.0699279 0.0171674 0.243697 1.98283 1.23855 2.69957
26 2.55 0.742343 0.214592 0.160686 2.06867 1.11112 3.29185
27 2.65 2.00237 0.7897 0.342215 2.26609 1.03631 3.88841
28 2.75 2.71973 1.6309 0.601023 2.63948 0.893088 4.44206
29 2.85 2.60976 2.49785 0.720391 3.12017 0.663928 4.88412
30 2.95 1.63997 3.08155 0.990565 3.82833 0.770091 5.43348
31 3.05 1.39883 3.61373 1.16256 4.71674 0.821735 6.06009
32 3.15 0.994152 4.01717 1.51116 5.9485 0.791501 6.70386
33 3.25 0.973661 4.43777 1.52842 7.27468 0.837729 7.42918
34 3.35 0.785489 4.79828 1.51768 8.67382 0.872444 8.23176
35 3.45 0.546645 5.06438 1.26418 9.90987 0.96337 9.17167
36 3.55 0.799408 5.47639 1.38052 11.3391 1.10513 10.3133
37 3.65 0.756208 5.88841 1.11376 12.5579 1.04148 11.4506
38 3.75 0.985073 6.45494 1.02543 13.7425 1.07976 12.6953
39 3.85 1.01953 7.07296 0.997528 14.9571 1.11624 14.0515
40 3.95 0.83404 7.60515 1.02468 16.2704 1.14434 15.515
41 4.05 1.11327 8.35193 0.949224 17.5494 1.0598 16.9399
42 4.15 0.926209 9.00429 0.940436 18.8798 1.05799 18.4335
43 4.25 0.894758 9.66524 0.928521 20.2575 0.997191 19.9099
44 4.35 1.30887 10.6781 0.933262 21.7082 1.08746 21.5966
45 4.45 1.21891 11.6652 0.94456 23.2446 0.994185 23.2103
46 4.55 1.00371 12.515 0.966592 24.8884 1.01925 24.9399
47 4.65 1.2328 13.6052 1.01487 26.691 1.02432 26.7554
48 4.75 0.930271 14.4635 0.940172 28.4335 1.03502 28.6695
49 4.85 1.06184 15.485 0.87737 30.1288 1.05511 30.7039
50 4.95 1.1393 16.6266 0.946766 32.0343 0.940254 32.5923
51 5.05 1.01233 17.6824 1.02642 34.1845 1.03889 34.7639
52 5.15 0.918 18.6781 1.01453 36.3948 0.925897 36.7768
53 5.25 0.875747 19.6652 1.06345 38.8026 1.02584 39.0944
54 5.35 0.938647 20.7639 1.0551 41.2833 0.964069 41.3562
55 5.45 1.05998 22.0515 1.01498 43.7597 0.953696 43.6781
56 5.55 0.770005 23.0215 0.96516 46.2017 0.938338 46.0472
57 5.65 0.72984 23.9742 0.98531 48.7854 0.997271 48.6567
58 5.75 0.964961 25.279 1.06354 51.6738 0.953383 51.2403
59 5.85 1.06105 26.7639 1.01222 54.5193 1.00522 54.0601
60 5.95 1.09683 28.3519 0.974057 57.3519 0.961362 56.8498
61 6.05 0.963388 29.794 0.943551 60.1888 0.992788 59.8283
62 6.15 1.01001 31.3562 0.93522 63.0944 1.07013 63.1459
63 6.25 0.902719 32.7983 1.00451 66.3176 1.00935 66.3777
64 6.35 1.01506 34.4721 0.967941 69.5236 1.01677 69.7382
65 6.45 1.03933 36.2403 0.946952 72.7597 0.961575 73.0172
66 6.55 1.13993 38.2403 0.996201 76.2704 1.02641 76.6266
67 6.65 1.1059 40.2403 0.996003 79.8884 1.08221 80.5494
68 6.75 0.97203 42.0515 1.03552 83.7639 0.979133 84.206
69 6.85 1.01543 44 1.00328 87.6309 0.959682 87.897
70 6.95 0.973383 45.9227 1.02437 91.6953 0.959365 91.6953
71 7.05 1.0262 48.0086 1.026 95.8841 1.00503 95.7897
72 7.15 0.956642 50.0086 0.996484 100.069 1.02935 100.103
73 7.25 1.08617 52.3433 0.996023 104.369 0.979238 104.322
74 7.35 1.11121 54.7983 0.995219 108.785 1.0371 108.914
75 7.45 1.08158 57.2532 1.01575 113.416 0.981142 113.378
76 7.55 1.03471 59.6652 1.05777 118.369 1.02514 118.167
77 7.65 0.900238 61.8197 1.02137 123.279 0.988669 122.91
78 7.75 0.835221 63.8712 1.01084 128.266 1.00604 127.863
79 7.85 1.03207 66.4721 0.996271 133.309 1.0528 133.18
80 7.95 1.03284 69.1416 1.00939 138.549 1.04636 138.601
81 8.05 1.01058 71.8197 1.01592 143.957 1.01891 144.013
82 8.15 0.976451 74.4721 1.00137 149.421 0.969621 149.292
83 8.25 1.05161 77.3991 1.07627 155.438 1.01396 154.948
84 8.35 0.854974 79.8369 1.01767 161.266 0.998829 160.657
85 8.45 1.06415 82.9442 0.979821 167.013 1.03693 166.725
86 8.55 1.08247 86.1803 0.94417 172.682 1.02786 172.884
87 8.65 1.066 89.4421 0.981124 178.712 1.02592 179.176
88 8.75 1.05823 92.7554 0.993631 184.961 0.986194 185.365
89 8.85 1.01569 96.0086 1.00399 191.421 0.995454 191.755
90 8.95 0.966915 99.176 0.994075 197.961 0.967451 198.107
91 9.05 1.03536 102.644 0.995832 204.661 0.961533 204.562
92 9.15 1.08556 106.361 0.980425 211.403 1.02193 211.575
93 9.25 0.934652 109.631 1.02468 218.605 0.998735 218.579
94 9.35 0.938776 112.987 0.973595 225.597 0.950533 225.391
95 9.45 1.02478 116.73 0.981768 232.798 0.997366 232.691
96 9.55 0.955103 120.292 0.987096 240.193 0.947882 239.777
97 9.65 1.00303 124.112 1.00209 247.858 1.01774 247.545
98 9.75 0.984769 127.94 0.998131 255.652 1.01405 255.446
99 9.85 0.956222 131.734 0.983891 263.494 1.01623 263.528
100 9.95 1.04735 135.974 0.985324 271.506 1.00913 271.717
11200 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
